,state,arma_09_23_perf_20,dfm_mini_local_09_23_perf_20,dfm_mini_local_trends_09_23_perf_20,dfm_mini_local_trends_all_09_23_perf_20,mini_over_arma_09_23_perf_20,trends_over_mini_09_23_perf_20,all_over_trends_09_23_perf_20,dfm_mini_local_joint_09_23_perf_20,dfm_mini_local_trends_joint_09_23_perf_20,dfm_mini_local_trends_all_joint_09_23_perf_20
33,MD,0.1825332511908627,0.1838516992683233,0.2063283432199529,0.2272625581349886,0.0013184480774605933,0.0224766439516296,0.02093421491503572,0.2119349849161901,0.2340627788484194,0.2240184366299376
34,MN,0.291371815439094,0.3386692566892768,0.3343992664729454,0.3506419276957702,0.04729744125018276,-0.0042699902163313985,0.016242661222824806,0.356738395774827,0.3576858548220592,0.3486946447069533
35,NE,0.1314933220517462,0.1116266161030114,0.09725029618617353,0.1096086178365202,-0.019866705948734784,-0.014376319916837868,0.01235832165034667,0.07444563585837738,0.1062313741799561,0.1079650287976204
36,NH,0.2553133327622804,0.2103755561453501,0.2026346785548894,0.2221747027732007,-0.0449377766169303,-0.007740877590460715,0.019540024218311303,0.2130016808629379,0.2443156366163778,0.2460356435108273
37,NM,0.2786457690131187,0.2897223363029121,0.2872388358873283,0.2782652175605526,0.011076567289793393,-0.002483500415583817,-0.008973618326775679,0.2994557371624683,0.3125328898667971,0.2929988963329357
38,OH,0.306917006359094,0.3254001156749571,0.314388829518727,0.3482252207516013,0.018483109315863055,-0.011011286156230093,0.0338363912328743,0.3311262410516893,0.251223466531633,0.3000519135913691
39,OK,0.1077460148978866,0.175631835389838,0.1512544772478134,0.1642060309203629,0.06788582049195141,-0.024377358142024602,0.012951553672549493,0.1488063612096108,0.1425328533419776,0.1359006868355537
40,PA,0.4941890185788825,0.4649775870903754,0.5183406530060293,0.517835611631667,-0.029211431488507078,0.05336306591565387,-0.0005050413743622473,0.5841454160144814,0.5243569286747053,0.5293663434165284
41,TX,0.3312593904592216,0.4335026172925794,0.4496331210530676,0.4367460878195774,0.10224322683335779,0.01613050376048819,-0.012887033233490164,0.4376189607439418,0.4428488769710294,0.4227984527202405
42,UT,0.2502832978706351,0.196392766644803,0.2047541105115179,0.1898497351838355,-0.05389053122583207,0.008361343866714888,-0.014904375327682406,0.1737683976825937,0.2606386515724488,0.2326518173675739
43,DE,-0.0254252038769236,0.1792226253802862,0.1499870921520425,0.1603235253728249,0.20464782925720978,-0.029235533228243682,0.010336433220782398,0.2014309445085324,0.1576954165495615,0.1384309053329574
44,MS,0.1188925046628807,0.1081203044649177,0.1142912868158771,0.1291766269512012,-0.010772200197963003,0.006170982350959392,0.014885340135324096,0.1544129240117819,0.1534197417042705,0.1249355752494239
45,ND,0.1527123610596911,0.1102509670558017,0.08363929032820672,0.1299246825153961,-0.0424613940038894,-0.026611676727594985,0.046285392187189384,0.03079707628289474,0.03201514462960819,0.1367118598809443
46,SD,0.145993453646428,0.1105489489363797,0.08857707284319771,0.1246053599137064,-0.035444504710048286,-0.02197187609318199,0.03602828707050869,0.105836657145145,0.1021966291287338,0.06496988052049124
47,VT,0.3012272068744684,0.337791550252042,0.3417271375296823,0.3322013862415661,0.03656434337757358,0.003935587277640318,-0.009525751288116224,0.3330997433201862,0.3371450451892072,0.329493216410208
48,WY,0.1606635447420952,0.1841824481160643,0.1878340105305741,0.1793677508825858,0.023518903373969086,0.0036515624145098124,-0.008466259647988306,0.1991984653536719,0.1894573674490123,0.1792647358991767
49,RI,0.3723426965189455,0.3977090423374989,0.4220377659866321,0.4169800367605953,0.02536634581855335,0.024328723649133244,-0.005057729226036811,0.4395797785623602,0.4381770855465982,0.426191715841264
50,WV,0.1842865231520676,0.08935104104673519,0.08779882618412138,0.09944475168168532,-0.0949354821053324,-0.00155221486261381,0.011645925497563936,0.0995671565191778,0.08378700313321163,0.05836386015810391
